State,2019_energy_carbon_emissions,state
Alabama,106.3,ALABAMA
Alaska,34.3,ALASKA
Arizona,92.5,ARIZONA
Arkansas,65.1,ARKANSAS
California,358.2,CALIFORNIA
Colorado,91.7,COLORADO
Connecticut,36.6,CONNECTICUT
Delaware,13.6,DELAWARE
District of Columbia,2.8,DISTRICT OF COLUMBIA
Florida,233.6,FLORIDA
Georgia,136.5,GEORGIA
Hawaii,20.5,HAWAII
Idaho,20.1,IDAHO
Illinois,203.4,ILLINOIS
Indiana,176.1,INDIANA
Iowa,77.3,IOWA
Kansas,60.5,KANSAS
Kentucky,115.4,KENTUCKY
Louisiana,194.9,LOUISIANA
Maine,14.4,MAINE
Maryland,56.9,MARYLAND
Massachusetts,63.3,MASSACHUSETTS
Michigan,159.2,MICHIGAN
Minnesota,92.1,MINNESOTA
Mississippi,62.5,MISSISSIPPI
Missouri,117.0,MISSOURI
Montana,32.3,MONTANA
Nebraska,50.5,NEBRASKA
Nevada,41.7,NEVADA
New Hampshire,13.9,NEW HAMPSHIRE
New Jersey,100.8,NEW JERSEY
New Mexico,48.9,NEW MEXICO
New York,169.0,NEW YORK
North Carolina,122.6,NORTH CAROLINA
North Dakota,57.2,NORTH DAKOTA
Ohio,196.7,OHIO
Oklahoma,90.8,OKLAHOMA
Oregon,41.8,OREGON
Pennsylvania,218.7,PENNSYLVANIA
Rhode Island,10.4,RHODE ISLAND
South Carolina,69.4,SOUTH CAROLINA
South Dakota,16.0,SOUTH DAKOTA
Tennessee,92.2,TENNESSEE
Texas,683.2,TEXAS
Utah,61.5,UTAH
Vermont,6.0,VERMONT
Virginia,106.8,VIRGINIA
Washington,84.2,WASHINGTON
West Virginia,85.4,WEST VIRGINIA
Wisconsin,94.8,WISCONSIN
Wyoming,59.1,WYOMING
Total of states,"5,158.8",TOTAL OF STATES
